20260401 012400;4683.205000;4684.385000;4683.175000;4684.045000;0
20260401 012500;4684.065000;4684.955000;4681.825000;4682.885000;0
20260401 012600;4682.715000;4689.845000;4682.585000;4688.425000;0
20260401 012700;4688.405000;4688.595000;4683.815000;4684.925000;0
20260401 012800;4684.865000;4685.375000;4683.375000;4683.835000;0
20260401 012900;4683.705000;4685.955000;4683.485000;4685.955000;0
20260401 013000;4685.985000;4690.915000;4685.955000;4689.975000;0
20260401 013100;4689.935000;4691.855000;4689.685000;4691.265000;0
20260401 013200;4691.235000;4693.735000;4691.185000;4692.825000;0
20260401 013300;4692.795000;4694.915000;4691.735000;4693.555000;0
20260401 013400;4693.655000;4693.805000;4691.615000;4692.885000;0
20260401 013500;4692.995000;4694.085000;4692.065000;4693.975000;0
20260401 013600;4693.995000;4694.638000;4691.645000;4692.925000;0
20260401 013700;4692.995000;4698.225000;4692.025000;4696.465000;0
20260401 013800;4696.805000;4699.145000;4696.315000;4698.595000;0
20260401 013900;4698.595000;4700.185000;4697.888000;4700.085000;0
20260401 014000;4700.365000;4700.405000;4698.905000;4699.815000;0
20260401 014100;4699.765000;4703.195000;4699.705000;4702.515000;0
20260401 014200;4702.535000;4702.535000;4699.555000;4699.555000;0
20260401 014300;4699.525000;4701.855000;4699.128000;4700.755000;0
20260401 014400;4700.765000;4702.585000;4700.725000;4701.905000;0
20260401 014500;4701.935000;4703.135000;4701.695000;4702.095000;0
20260401 014600;4702.075000;4702.255000;4696.768000;4696.888000;0
20260401 014700;4696.878000;4698.728000;4695.518000;4698.225000;0
20260401 014800;4698.288000;4699.315000;4695.258000;4695.928000;0
20260401 014900;4695.938000;4699.348000;4695.938000;4698.928000;0
20260401 015000;4698.928000;4698.998000;4696.185000;4696.288000;0
20260401 015100;4696.228000;4697.378000;4695.225000;4695.968000;0
20260401 015200;4695.968000;4696.838000;4695.198000;4696.348000;0
20260401 015300;4696.298000;4696.938000;4694.198000;4694.598000;0
20260401 015400;4694.698000;4696.265000;4694.198000;4695.175000;0
20260401 015500;4695.205000;4695.345000;4691.525000;4691.525000;0
20260401 015600;4692.158000;4692.265000;4689.575000;4691.465000;0
20260401 015700;4691.345000;4691.505000;4688.795000;4689.205000;0
20260401 015800;4688.805000;4689.865000;4685.595000;4685.595000;0
20260401 015900;4685.625000;4686.165000;4683.468000;4684.155000;0
20260401 020000;4684.135000;4687.735000;4682.335000;4685.525000;0
20260401 020100;4685.445000;4688.945000;4684.765000;4688.335000;0
20260401 020200;4688.355000;4689.115000;4685.658000;4687.405000;0
20260401 020300;4687.385000;4687.905000;4685.155000;4687.725000;0
20260401 020400;4687.725000;4687.945000;4684.715000;4684.775000;0
20260401 020500;4684.975000;4687.565000;4684.455000;4684.755000;0
20260401 020600;4684.735000;4687.405000;4683.885000;4684.315000;0
20260401 020700;4684.315000;4685.375000;4683.725000;4684.665000;0
20260401 020800;4684.665000;4687.295000;4684.035000;4685.915000;0
20260401 020900;4685.915000;4686.635000;4684.025000;4686.355000;0
20260401 021000;4686.315000;4690.405000;4686.315000;4690.125000;0
20260401 021100;4689.955000;4692.125000;4689.325000;4691.025000;0
20260401 021200;4691.045000;4693.305000;4690.755000;4692.795000;0
20260401 021300;4692.855000;4695.165000;4691.665000;4694.565000;0
20260401 021400;4694.245000;4697.395000;4694.195000;4697.395000;0
20260401 021500;4697.385000;4698.325000;4696.235000;4697.545000;0
20260401 021600;4697.565000;4699.055000;4693.845000;4694.585000;0
20260401 021700;4694.645000;4698.365000;4692.235000;4698.235000;0
20260401 021800;4698.125000;4698.125000;4693.945000;4695.595000;0
20260401 021900;4695.595000;4696.975000;4694.115000;4695.635000;0
20260401 022000;4695.675000;4698.675000;4695.235000;4698.535000;0
20260401 022100;4698.568000;4700.465000;4696.998000;4700.465000;0
20260401 022200;4700.465000;4702.715000;4699.945000;4702.385000;0
20260401 022300;4702.495000;4704.805000;4702.285000;4703.855000;0
20260401 022400;4703.825000;4709.375000;4703.635000;4708.915000;0
20260401 022500;4708.955000;4710.385000;4704.615000;4707.315000;0
20260401 022600;4707.305000;4709.785000;4707.145000;4709.625000;0
20260401 022700;4709.585000;4711.115000;4707.555000;4707.595000;0
20260401 022800;4707.805000;4709.085000;4705.205000;4705.238000;0
20260401 022900;4705.358000;4709.875000;4704.978000;4709.225000;0
20260401 023000;4709.225000;4712.235000;4708.175000;4708.755000;0
20260401 023100;4708.705000;4710.595000;4708.335000;4710.295000;0
20260401 023200;4711.168000;4711.205000;4708.125000;4710.525000;0
20260401 023300;4710.485000;4712.425000;4709.475000;4709.475000;0
20260401 023400;4709.455000;4710.265000;4707.395000;4708.605000;0
20260401 023500;4708.565000;4708.745000;4703.225000;4704.485000;0
20260401 023600;4704.455000;4706.485000;4703.738000;4705.765000;0
20260401 023700;4705.785000;4705.865000;4703.185000;4703.935000;0
20260401 023800;4704.048000;4705.415000;4702.248000;4702.945000;0
20260401 023900;4703.005000;4703.755000;4701.785000;4702.275000;0
20260401 024000;4702.275000;4704.375000;4701.855000;4703.685000;0
20260401 024100;4703.635000;4707.185000;4703.015000;4707.185000;0
20260401 024200;4707.115000;4708.685000;4706.355000;4707.415000;0
20260401 024300;4707.465000;4708.385000;4706.775000;4708.125000;0
20260401 024400;4708.195000;4708.588000;4707.775000;4708.305000;0
20260401 024500;4708.395000;4717.575000;4708.285000;4716.455000;0
20260401 024600;4716.525000;4718.475000;4714.895000;4718.405000;0
20260401 024700;4718.465000;4721.855000;4717.535000;4721.265000;0
20260401 024800;4721.235000;4727.555000;4720.895000;4727.015000;0
20260401 024900;4727.045000;4727.505000;4723.595000;4723.865000;0
20260401 025000;4723.915000;4725.045000;4719.935000;4721.045000;0
20260401 025100;4721.065000;4723.225000;4720.498000;4721.298000;0
20260401 025200;4721.298000;4725.215000;4720.415000;4724.625000;0
20260401 025300;4724.665000;4724.695000;4722.998000;4723.975000;0
20260401 025400;4723.945000;4727.698000;4723.415000;4726.615000;0
20260401 025500;4726.828000;4729.158000;4726.495000;4727.275000;0
20260401 025600;4727.195000;4728.805000;4726.075000;4727.045000;0
20260401 025700;4726.885000;4730.418000;4726.845000;4729.735000;0
20260401 025800;4729.785000;4732.785000;4729.285000;4730.505000;0
20260401 025900;4730.445000;4732.418000;4729.715000;4730.115000;0
20260401 030000;4730.655000;4732.185000;4725.205000;4727.148000;0
20260401 030100;4727.405000;4729.105000;4725.055000;4727.985000;0
20260401 030200;4727.985000;4729.055000;4725.095000;4727.125000;0
20260401 030300;4727.195000;4727.615000;4722.335000;4722.405000;0
20260401 030400;4722.675000;4724.425000;4719.718000;4722.355000;0
20260401 030500;4722.095000;4723.108000;4719.645000;4720.425000;0
20260401 030600;4720.245000;4720.245000;4716.535000;4716.555000;0
20260401 030700;4716.635000;4719.505000;4714.885000;4716.985000;0
20260401 030800;4717.025000;4718.918000;4714.195000;4717.095000;0
20260401 030900;4717.055000;4721.615000;4715.835000;4720.905000;0
20260401 031000;4721.038000;4721.515000;4718.135000;4720.515000;0
