number,value,datetime_start,datetime_complete,duration,params_fast,params_signal,params_sl_buffer,params_slow,params_ta,params_td,params_ts,state
40,1.2959657181737834,2026-05-27 04:35:11.442757,2026-05-27 04:35:12.594561,0 days 00:00:01.151804,12,7,100,29,1250,1500,300,COMPLETE
41,1.3178532252328166,2026-05-27 04:35:12.594613,2026-05-27 04:35:13.769158,0 days 00:00:01.174545,14,6,150,29,1500,1250,200,COMPLETE
42,1.1956860806921503,2026-05-27 04:35:13.769204,2026-05-27 04:35:14.919995,0 days 00:00:01.150791,14,5,150,31,1500,1000,200,COMPLETE
43,1.2235814397787907,2026-05-27 04:35:14.920035,2026-05-27 04:35:16.071698,0 days 00:00:01.151663,14,6,150,25,1500,1000,200,COMPLETE
44,1.2211353436166843,2026-05-27 04:35:16.071744,2026-05-27 04:35:17.223060,0 days 00:00:01.151316,12,7,200,27,1500,1500,100,COMPLETE
45,1.2750350120557319,2026-05-27 04:35:17.223106,2026-05-27 04:35:18.366078,0 days 00:00:01.142972,14,7,150,29,1250,750,300,COMPLETE
46,1.307579811183879,2026-05-27 04:35:18.366125,2026-05-27 04:35:19.568379,0 days 00:00:01.202254,16,5,100,31,1500,1250,200,COMPLETE
47,1.433054541100498,2026-05-27 04:35:19.568426,2026-05-27 04:35:20.714704,0 days 00:00:01.146278,12,6,200,35,1000,1000,100,COMPLETE
48,1.2661218414572961,2026-05-27 04:35:20.714745,2026-05-27 04:35:21.866641,0 days 00:00:01.151896,10,6,200,35,1000,1000,100,COMPLETE
49,1.2622819988058953,2026-05-27 04:35:21.866680,2026-05-27 04:35:23.016620,0 days 00:00:01.149940,12,5,200,35,1000,750,100,COMPLETE
